Startup,Ville,Montant,Date,Investisseurs,Nombre
GROOVER,Basse Normandie,1.300.000 €,20 septembre 2019,"INVESTISSEURS
PRIVÉS,
 TECHSTARS,
 KIMA
VENTURES",1ère levée de fonds de GROOVER
LIBERKEYS,Ile De France,4.000.000 €,18 septembre 2019,"CRÉDIT
AGRICOLE
IMMOBILIER,
 INVESTISSEURS
PRIVÉS",2ème levée de fonds de LIBERKEYS
NEXT STATION,Ile De France,1.000.000 €,17 septembre 2019,"INVESTISSEURS
PRIVÉS,
 
CABIEDES
&
PARTNERS",1ère levée de fonds de NEXT STATION
FIFTY,Ile De France,1.000.000 €,16 septembre 2019,"INVESTISSEURS
PRIVÉS",1ère levée de fonds de FIFTY
LEETO,Ile De France,2.000.000 €,16 septembre 2019,"FOUNDERS
FUTURE, 
BUSINESS
ANGELS",1ère levée de fonds de LEETO
RUTABAGO,Ile De France,1.800.000 €,13 septembre 2019,"BUSINESS
ANGELS,
BIOCOOP,
 NOVESS,
 FDNC
SFS,",1ère levée de fonds de RUTABAGO
PRET A POUSSER,Ile De France,4.300.000 €,13 septembre 2019,"CAPAGRO,
 BUSINESS
ANGELS",2ème levée de fonds de PRET A POUSSER
LIVESTORM,Ile De France,4.600.000 €,12 septembre 2019,"AGLAÉ
VENTURES,
 FONDS
AMBITION
AMORÇAGE
ANGELS, 
RAISE
VENTURES,
 BUSINESS
ANGELS",1ère levée de fonds de LIVESTORM
AKENEO,Pays de la Loire,41.000.000 €,12 septembre 2019,"SUMMIT
PARTNERS,
 ALVEN, 
PARTECH,
 SALESFORCE
VENTURES,
 INVESTISSEURS
PRIVÉS",5ème levée de fonds de AKENEO
HELLOPRET ,Ile De France,4.000.000 €,12 septembre 2019,NEWALPHA,1ère levée de fonds de HELLOPRET
ILEK,Midi Pyrénées,6.000.000 €,12 septembre 2019,"EQUITY3P
II",1ère levée de fonds de ILEK
INOTREM,Lorraine,39.000.000 €,12 septembre 2019,"MORNINGSIDE
VENTURE,
 INVUS, 
ANDERA
PARTNERS,
 SOFINNOVA
PARTNERS,
 BIOMEDINVEST",2ème levée de fonds de INOTREM
ECOV,Ile De France,5.000.000 €,12 septembre 2019,"INVESTISSEURS
PRIVÉS",3ème levée de fonds de ECOV
ZYL,Ile De France,1.000.000 €,12 septembre 2019,ONERAGTIME,3ème levée de fonds de ZYL
FRANCE TOMBALE,Midi Pyrénées,500.000 €,12 septembre 2019,"GALIA
GESTION",1ère levée de fonds de FRANCE TOMBALE
JOBTEASER,Ile De France,50.000.000 €,11 septembre 2019,"HIGHLAND
EUROPE, 
ALVEN
CAPITAL,
 IDINVEST
PARTNERS,
 KORELYA
CAPITAL,
 SEVENTURE
PARTNERS",3ème levée de fonds de JOBTEASER
ERMIUM THERAPEUTICS,Ile De France,6.300.000 €,11 septembre 2019,"DOMAIN
THERAPEUTICS,
 KURMA
PARTNERS,
 IDINVEST
PARTNERS,
 ERGANEO",1ère levée de fonds de ERMIUM THERAPEUTICS
TRUSTPAIR,Ile De France,4.000.000 €,10 septembre 2019,"BREEGA, 
AXELEO
CAPITAL",2ème levée de fonds de TRUSTPAIR
BEOP,Ile De France,6.000.000 €,10 septembre 2019,"BREEGA,
 WATERSTART
CAPITAL",1ère levée de fonds de BEOP
AIVE,Languedoc Roussillon,2.500.000 €,10 septembre 2019,"INVESTISSEURS
PRIVÉS,
 BUSINESS
ANGELS",1ère levée de fonds de AIVE
